v4,53.1035,53.1035,53.1035
v8,56.6631,56.6631,56.6631
v20,54.6774,54.6774,54.6774
v16,51.4891,51.4891,51.4891
v17,61.6771,61.6771,61.6771
v6,61.9314,61.9314,61.9314
v10,65.3746,65.3746,65.3746
v5,52.6562,52.6562,52.6562
v7,49.359,49.359,49.359
v13,47.2877,47.2877,47.2877
v14,68.8526,68.8526,68.8526
v12,50.0886,50.0886,50.0886
v15,52.0344,52.0344,52.0344
v3,47.4971,47.4971,47.4971
v9,47.5819,47.5619,47.5619
v19,57.7875,57.7875,57.7875
v11,41.8839,41.8839,41.8839
v2,51.7006,51.5949,51.5949
v1,58.2681,58.2681,58.2681
v18,45.6973,45.6973,45.6973
