v100,302.718,302.718,5.754,5.497,1
v4,226.023,226.023,34.862,34.904,2
v60,275.988,275.988,27.493,26.44,0
v70,276.614,276.614,20.893,21.149,1
v44,264.911,264.911,2.601,2.655,0
v8,292.618,292.618,16.989,16.805,1
v20,251.471,251.471,18.29,17.347,0
v16,287.005,287.005,5.008,4.532,0
v78,245.457,245.457,21.088,19.41,0
v17,292.789,292.789,24.842,24.002,0
v6,220.293,220.293,3.533,3.643,0
v57,254.264,254.264,27.723,26.793,0
v31,222.2,222.2,42.345,41.731,0
v41,240.072,240.072,4.035,4.135,0
v10,289.566,289.566,23.657,23.512,0
v64,233.57,233.57,3.784,3.837,0
v29,220.18,220.18,2.459,2.489,0
v40,236.098,236.098,6.18,6.092,1
v22,221.384,221.384,9.36,9.099,2
v68,259.494,259.494,22.53,22.16,2
v76,241.737,241.737,4.203,4.267,0
v75,295.891,295.891,17.978,16.46,0
v48,274.603,274.603,24.498,21.858,0
v5,281.635,281.635,3.93,3.867,0
v88,274.124,274.124,22.77,21.758,0
v98,251.688,251.688,18.459,17.088,0
v7,270.204,270.204,6.811,5.802,0
v74,275.702,275.702,4.757,4.426,0
v28,270.173,270.173,14.071,13.338,0
v63,278.988,278.988,4.577,4.364,0
v71,269.348,269.348,15.156,14.361,0
v56,276.919,276.919,39.391,36.966,0
v49,234.636,234.636,3.691,3.394,0
v13,271.823,271.823,11.45,10.454,2
v62,282.759,282.759,15.697,14.925,0
v66,284.873,284.873,4.901,4.245,0
v93,234.68,234.68,2.166,2.062,0
v91,278.067,278.067,18.303,17.184,0
v96,289.29,289.29,24.854,24.186,0
v80,229.749,229.749,6.378,6.147,0
v14,220.936,220.936,3.421,3.383,0
v51,290.621,290.621,22.559,21.491,0
v34,248.697,248.697,6.365,5.929,1
v82,266.967,266.967,3.537,2.672,0
v24,280.105,280.105,6.924,6.117,0
v36,272.915,272.915,13.996,13.896,0
v43,290.89,290.89,24.042,22.857,0
v58,227.343,227.343,5.642,5.305,0
v12,290.674,290.674,11.861,11.017,0
v95,244.675,244.675,5.056,4.72,0
v79,279.16,279.16,17.017,16.378,0
v33,257.498,257.498,24.12,24.123,0
v61,304.793,304.793,25.586,25.188,1
v32,217.151,217.151,18.326,18.31,0
v23,254.704,254.704,23.962,22.768,1
v69,278.387,278.387,5.553,5.417,0
v21,188.879,188.879,5.519,5.366,0
v85,268.519,268.519,27.04,26.816,0
v52,240.913,240.913,45.414,44.303,0
v54,211.397,211.397,3.227,3.145,2
v65,262.465,262.465,2.917,2.856,0
v39,224.757,224.757,24.965,24.904,2
v46,292.494,292.494,14.892,14.439,0
v15,245.081,245.081,4.475,4.614,2
v30,251.631,251.631,19.798,19.189,1
v67,282.933,282.933,13.104,13.497,0
v97,244.395,244.395,19.512,19.2,0
v37,257.131,257.131,21.19,20.717,0
v27,252.099,252.099,23.428,22.882,0
v42,237.939,237.939,3.674,3.629,0
v3,261.941,261.941,30.244,29.243,0
v35,222.094,222.094,18.951,18.747,0
v9,257.724,257.724,16.414,16.379,1
v84,283.352,283.352,4.787,4.778,0
v83,276.922,276.922,14.284,14.585,0
v19,263.125,263.125,4.03,4.039,0
v26,272.297,238.022,16.124,15.469,0
v55,284.15,284.15,14.079,13.849,0
v73,294.259,294.259,4.393,3.805,0
v86,275.972,275.972,15.414,15.411,0
v94,245.238,245.238,3.119,3.179,0
v81,236.013,236.013,3.473,3.423,0
v11,235.019,235.019,21.851,21.371,1
v92,249.195,249.195,21.614,20.774,0
v47,234.083,234.083,36.185,35.871,0
v89,282.454,282.454,20.296,19.047,0
v2,256,256,27.72,26.069,0
v99,249.648,249.648,2.308,2.148,0
v90,244.947,244.947,5.388,5.028,0
v50,269.707,269.707,26.42,25.343,0
v38,290.978,290.978,19.708,17.77,0
v25,253.281,253.281,36.851,34.896,0
v77,261.566,261.566,39.75,37.888,0
v53,229.493,229.493,46.49,45.802,2
v72,241.457,241.457,19.719,19.545,0
v1,268.511,268.511,4.867,4.556,2
v59,284.213,284.213,34.292,31.389,0
v87,286.552,286.552,5.109,4.009,0
v45,250.618,250.618,27.832,22.144,1
v18,291.707,291.707,5.553,3.255,0
