v100,181.205,181.205,3.379,3,0
v4,166.978,166.978,5.361,3,1
v60,117.807,117.807,1.757,2,1
v70,253.664,253.664,27.927,0,0
v44,222.46,222.46,10.063,0,1
v8,138.578,138.578,5.364,2,1
v20,220.445,220.445,30.113,4,0
v16,162.732,162.732,27.93,5,1
v78,213.882,213.882,36.091,1,1
v17,217.238,217.238,3.512,0,1
v6,221.534,221.534,20.495,2,0
v57,244.07,244.07,6.186,0,1
v31,162.228,162.228,55.623,5,0
v41,220.086,220.086,82.792,6,0
v10,223.601,0,0.985,5.4389e-310,56
v64,183.895,0,1.234,6.55958e-310,0
v29,173.765,0,0.72,6.37245e-310,0
v40,290.844,0,1.03,5.45138e-310,219
v22,173.682,0,0.719,5.26938e-310,56
v68,218.939,0,0.547,6.74598e-310,196
v76,215.092,0,1.49,5.23412e-310,219
v75,252.061,0,0.972,6.84959e-310,196
v48,229.822,0,0.885,6.52424e-310,196
v5,169.129,0,0.831,5.48313e-310,56
v88,279.069,0,0.385,6.3239e-310,0
v98,203.61,0,0.917,6.89302e-310,0
v7,202.308,0,1.033,4.84118e-310,56
v74,217.282,0,1.045,4.94871e-310,219
v28,214.526,0,0.915,5.00017e-310,56
v63,184.792,0,0.58,5.18333e-310,56
v71,169.535,0,1.241,6.64252e-310,0
v56,256.097,0,0.622,5.42508e-310,219
v49,214.581,0,0.846,4.96243e-310,219
v13,228.51,0,0.91,6.10026e-310,0
v62,193.381,0,1.323,5.41083e-310,219
v66,197.814,0,1.056,6.50505e-310,196
v93,222.995,0,0.565,4.71115e-310,219
v91,160.267,0,1.905,6.14676e-310,196
v96,191.595,0,0.706,5.13019e-310,219
v80,229.753,0,0.976,6.10503e-310,0
v14,204.672,0,1.855,5.27147e-310,219
v51,232.71,0,1.162,6.58295e-310,196
v34,205.632,0,0.822,6.39963e-310,0
v82,222.915,0,0.722,5.31893e-310,56
v24,194.483,0,1.162,4.80114e-310,56
v36,252.533,0,1.064,6.15185e-310,196
v43,248.973,0,1.285,4.73265e-310,219
v58,249.051,0,1.101,6.56967e-310,0
v12,210.253,0,0.817,6.47884e-310,0
v95,230.482,0,0.788,6.79204e-310,0
v79,248.992,0,1.002,4.69633e-310,56
v33,173.75,0,0.885,6.71792e-310,196
v61,199.423,0,1.143,6.87978e-310,0
v32,161.684,0,0.963,4.88961e-310,219
v23,210.328,0,1.005,6.35492e-310,0
v69,168.93,0,1.602,6.36093e-310,0
v21,233.623,0,1.102,6.74009e-310,0
v85,225.196,0,0.706,5.33535e-310,56
v52,204.422,0,0.615,4.97685e-310,219
v54,219.769,0,0.454,4.64701e-310,219
v65,173.382,0,0.441,6.72342e-310,0
v39,232.267,0,0.507,5.02911e-310,56
v46,244.08,0,0.481,4.79254e-310,56
v15,216.239,0,0.69,4.66968e-310,56
v30,219.236,0,0.962,5.07025e-310,56
v67,220.817,0,1.248,6.77858e-310,0
v97,196.071,0,1.105,5.37568e-310,219
v37,253.776,0,0.408,4.82184e-310,219
v27,165.491,0,0.614,5.12677e-310,56
v42,170.314,0,0.771,6.69004e-310,0
v3,155.198,0,0.755,6.66617e-310,0
v35,236.171,0,0.517,5.2489e-310,219
v9,253.328,0,0.571,5.23209e-310,219
v84,180.325,0,0.867,4.9313e-310,56
v83,238.673,0,0.704,6.23912e-310,0
v19,234.743,0,0.524,6.65516e-310,196
v26,253.894,0,0.799,5.0238e-310,56
v55,201.289,0,0.574,4.89902e-310,219
v73,254.904,0,0.568,5.28212e-310,219
v86,172.772,0,0.788,4.93922e-310,219
v94,252.549,0,1,4.88807e-310,56
v81,254.8,0,0.496,5.0085e-310,219
v11,245.692,0,0.547,6.15468e-310,196
v92,229.95,0,1.186,6.39385e-310,0
v47,240.374,0,1.401,4.91656e-310,219
v89,185.136,0,0.787,6.67472e-310,196
v2,227.022,0,0.751,6.76953e-310,196
v99,242.543,0,0.824,6.41103e-310,196
v90,189.935,0,0.94,6.3181e-310,196
v50,230.267,0,0.703,6.15362e-310,0
v38,163.875,0,1.013,4.99294e-310,56
v25,252.288,0,1.002,5.05018e-310,219
v77,196.451,0,1.048,4.96579e-310,56
v53,264.191,0,0.717,6.87648e-310,196
v72,212.208,0,0.733,5.49221e-310,219
v1,191.5,0,1.785,6.22915e-310,196
v59,181.392,0,0.858,4.87272e-310,56
v87,171.118,0,1.275,6.67217e-310,0
v45,188.034,0,0.757,6.62587e-310,0
v18,219.347,0,0.96,5.27375e-310,219
