v100,54.9806,54.9806,6,47.989
v4,73.6798,73.6798,2,5.273
v60,51.4241,51.4241,6,40.379
v70,59.8592,59.8592,3,53.717
v44,45.5283,45.5283,5,41.339
v8,83.8611,83.8611,4,7.411
v20,66.8956,66.8956,5,5.327
v16,43.9131,43.9131,6,11.97
v78,61.4136,61.4136,5,11.464
v17,73.516,73.516,5,14.369
v6,65.8295,65.8295,5,114.407
v57,43.2545,43.2545,5,62.588
v31,55.5317,55.5317,7,105.211
v41,56.9885,56.9885,6,159.514
v10,66.6068,66.6068,4,36.244
v64,57.1669,57.1669,4,6.215
v29,66.9449,66.9449,5,2.818
v40,49.6607,49.6607,5,771.678
v22,60.9808,60.9808,6,1101.45
v68,52.5334,52.5334,6,23.134
sep
v100,54.9806,54.9806,6,36.399
v4,73.6798,73.6798,2,5.226
v60,51.4241,51.4241,6,11.741
v70,59.8592,59.8592,3,12.783
v44,45.5283,45.5283,5,13.294
v8,83.8611,83.8611,4,8.927
v20,66.8956,66.8956,5,2.599
v16,43.9131,43.9131,6,5.622
v78,61.4136,61.4136,5,7.604
v17,73.516,73.516,5,3.645
v6,65.8295,65.8295,5,67.139
v57,43.2545,43.2545,5,46.085
v31,55.5317,55.5317,7,55.13
v41,56.9885,56.9885,6,41.077
v10,66.6068,66.6068,4,9.001
v64,57.1669,57.1669,4,8.58
v29,66.9449,66.9449,5,1.814
v40,49.6607,49.6607,5,1536.08
v22,60.9808,60.9808,6,2115.59
v68,52.5334,52.5334,6,7.825
v76,59.4347,59.4347,5,11.527
v75,65.5264,65.5264,2,5.224
v48,63.9529,63.9529,5,38.154
v5,65.1303,65.1303,6,38.126
v88,74.5085,74.5085,5,340.502
v98,48.5941,48.5941,6,115.811
v7,63.9918,63.9918,3,3.91
v74,59.9682,59.9682,4,3.132
v28,45.9743,45.9743,6,16.095
v63,59.1434,59.1434,3,8.41
v71,65.4495,65.4495,6,5.372
v56,58.8018,58.8018,6,37.688
v49,77.2915,77.2915,4,9.042
